name,type,start_time,duration,data,error
Prototype,data,0.0012625,0.0009895,.,
Prototype,data,0.0023038,0.0009895,º,
Prototype,data,0.0033451,0.0009895,b,
Prototype,data,0.0043864,0.0009895,.,
Prototype,data,0.0054277,0.0009895,.,
Prototype,data,0.006469,0.0009895,.,
Prototype,data,0.008864,0.0009895,1,
Prototype,data,0.0099054,0.0009895,3,
Prototype,data,0.0109467,0.0009895,0,
Prototype,data,0.011988,0.0009895,",",
Capnostat,data,0.0126317,0.0009895,4,
Prototype,data,0.0130293,0.0009895,1,
Capnostat,data,0.0137774,0.0009895,0,
Prototype,data,0.0140706,0.0009895,3,
Prototype,data,0.0151119,0.0009895,2,
Prototype,data,0.0161532,0.0009895,"
",
Prototype,data,0.0171945,0.0009895,1,
Prototype,data,0.0182359,0.0009895,2,
Prototype,data,0.0192772,0.0009895,8,
Prototype,data,0.0203185,0.0009895,",",
Prototype,data,0.0213598,0.0009895,1,
Prototype,data,0.0224011,0.0009895,3,
Prototype,data,0.0234424,0.0009895,1,
Capnostat,data,0.024102,0.0009895,4,
Prototype,data,0.0244838,0.0009895,"
",
Capnostat,data,0.0252477,0.0009895,0,
Prototype,data,0.0255251,0.0009895,1,
Prototype,data,0.0265664,0.0009895,2,
Prototype,data,0.0276077,0.0009895,9,
Prototype,data,0.028649,0.0009895,",",
Prototype,data,0.0296903,0.0009895,1,
Prototype,data,0.0307316,0.0009895,3,
Prototype,data,0.031773,0.0009895,1,
Prototype,data,0.0328143,0.0009895,"
",
Prototype,data,0.0338556,0.0009895,1,
Prototype,data,0.0348969,0.0009895,2,
Prototype,data,0.0359382,0.0009895,8,
Prototype,data,0.0369795,0.0009895,",",
Prototype,data,0.0380209,0.0009895,1,
Prototype,data,0.0390622,0.0009895,3,
Prototype,data,0.0401035,0.0009895,2,
Prototype,data,0.0411448,0.0009895,"
",
Prototype,data,0.0421861,0.0009895,1,
Prototype,data,0.0432274,0.0009895,2,
Prototype,data,0.0442687,0.0009895,9,
Prototype,data,0.0453101,0.0009895,",",
Prototype,data,0.0463514,0.0009895,1,
Capnostat,data,0.0470489,0.0009895,4,
Prototype,data,0.0473927,0.0009895,3,
Capnostat,data,0.0481947,0.0009895,0,
Prototype,data,0.048434,0.0009895,0,
Prototype,data,0.0494753,0.0009895,"
",
Prototype,data,0.0505166,0.0009895,1,
Prototype,data,0.0515579,0.0009895,2,
Prototype,data,0.0525993,0.0009895,8,
Prototype,data,0.0536406,0.0009895,",",
Prototype,data,0.0546819,0.0009895,1,
Prototype,data,0.0557232,0.0009895,3,
Prototype,data,0.0567645,0.0009895,2,
Prototype,data,0.0578058,0.0009895,"
",
Prototype,data,0.0588472,0.0009895,1,
Prototype,data,0.0598885,0.0009895,2,
Prototype,data,0.0609298,0.0009895,9,
Prototype,data,0.0619711,0.0009895,",",
Prototype,data,0.0630124,0.0009895,1,
Prototype,data,0.0640537,0.0009895,3,
Prototype,data,0.065095,0.0009895,0,
Prototype,data,0.0661364,0.0009895,"
",
Prototype,data,0.0671777,0.0009895,1,
Prototype,data,0.068219,0.0009895,2,
Prototype,data,0.0692603,0.0009895,7,
Capnostat,data,0.0699959,0.0009895,4,
Prototype,data,0.0703016,0.0009895,",",
Capnostat,data,0.0711417,0.0009895,0,
Prototype,data,0.0713429,0.0009895,1,
Prototype,data,0.0723843,0.0009895,3,
Prototype,data,0.0734256,0.0009895,1,
Prototype,data,0.0744669,0.0009895,"
",
Prototype,data,0.0755082,0.0009895,1,
Prototype,data,0.0765495,0.0009895,2,
Prototype,data,0.0775908,0.0009895,9,
Prototype,data,0.0786322,0.0009895,",",
Prototype,data,0.0796735,0.0009895,1,
